index,time_s,wavelength_nm,A_main_real,A_main_imag,A_aux_real,A_aux_imag,main_spectrum_db,aux_spectrum_db,param_wl_center_nm,param_FSR_main,param_FSR_aux,param_coupling_ring_bus,param_coupling_ring_ring,param_coupling_ring_drop,param_gamma,param_alpha_int_main,param_alpha_int_aux,param_beta_2,param_intensity_in,param_detuning_main,param_detuning_aux,param_detuning_step,param_nrt,param_n_per_step,param_n_small_time
0,-2.5e-11,1560.0,-2.5065541,-0.33957952,-6.421391,-2.264492,37.845188491679934,46.17886388465726,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
1,-2.4951124e-11,1559.8378,-2.4138494,-0.25359935,-6.4892106,-2.250643,-77.48516004304625,-72.18816868227981,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
2,-2.4902249e-11,1559.6757,-2.3216577,-0.168657,-6.527232,-2.2480767,-76.05068475928434,-80.45490103502505,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
3,-2.4853373e-11,1559.5135,-2.2305784,-0.08474583,-6.5306864,-2.2513015,-77.38554778247979,-83.08794899481373,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
4,-2.4804497e-11,1559.3514,-2.1408975,-0.0026130439,-6.505574,-2.267358,-77.24330654618633,-77.97810320628578,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
5,-2.4755621e-11,1559.1893,-2.054382,0.08040124,-6.4486485,-2.2912188,-80.39791678679683,-79.7336077876125,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
6,-2.4706745e-11,1559.0272,-1.9701763,0.16223438,-6.364449,-2.3280692,-85.32148348108177,-74.55516983669497,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
7,-2.465787e-11,1558.8654,-1.8905638,0.24605483,-6.25181,-2.375249,-83.2365599245023,-65.6835855346022,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
8,-2.4608994e-11,1558.7035,-1.8143443,0.33051836,-6.1145997,-2.4351158,-74.89191813514412,-69.47425994546236,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
9,-2.4560118e-11,1558.5416,-1.7442142,0.4183087,-5.9531617,-2.5078194,31.860464757273377,41.45704897264276,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
10,-2.4511242e-11,1558.3798,-1.6785499,0.50781745,-5.7704124,-2.5927422,-76.57780661478404,-70.64158725563382,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
11,-2.4462366e-11,1558.2178,-1.6196743,0.60203373,-5.5682425,-2.6919985,-80.66096686546759,-63.31416074292356,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
12,-2.441349e-11,1558.056,-1.5664845,0.69877774,-5.346331,-2.8017259,-76.1097420339385,-71.41015035908657,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
13,-2.4364614e-11,1557.8943,-1.5201352,0.79991335,-5.1103296,-2.927239,-80.11103910582366,-69.49683540952722,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
14,-2.4315739e-11,1557.7325,-1.4797493,0.9049459,-4.8563633,-3.0614724,-75.80102056154755,-77.94583551346898,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
15,-2.4266863e-11,1557.5708,-1.4455254,1.0129607,-4.5922055,-3.211334,-86.05184021208545,-86.03003874136968,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
16,-2.4217987e-11,1557.4092,-1.4176903,1.1238283,-4.313196,-3.3690047,-80.03985993298456,-87.78790117874215,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
17,-2.4169111e-11,1557.2476,-1.3946168,1.235731,-4.026517,-3.5407388,-84.40549748545368,-75.96618971571878,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
18,-2.4120235e-11,1557.0858,-1.3768376,1.3486149,-3.7287712,-3.7201166,9.944338958210107,11.424280603174143,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
19,-2.407136e-11,1556.9243,-1.3623302,1.4602597,-3.4252577,-3.911235,-86.96911992003984,-82.18719926381135,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
20,-2.4022484e-11,1556.7627,-1.3519367,1.5703295,-3.1146955,-4.110381,-78.6556287944574,-97.03410716469749,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
21,-2.3973608e-11,1556.6012,-1.3424802,1.6754452,-2.8000767,-4.318743,-81.71545120675725,-77.645312994093,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
22,-2.3924732e-11,1556.44,-1.3359169,1.7763275,-2.483644,-4.5362954,-79.21376175607534,-74.9913133142823,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
23,-2.3875856e-11,1556.2784,-1.328406,1.8693802,-2.1643577,-4.76012,-80.83416188606037,-78.81529429843636,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
24,-2.382698e-11,1556.1171,-1.3220273,1.9546622,-1.8472099,-4.9935946,-82.0129553511587,-73.27120313689063,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
25,-2.3778104e-11,1555.9556,-1.314207,2.0298548,-1.5301342,-5.230619,-90.72422959647228,-78.39229939358634,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
26,-2.3729229e-11,1555.7943,-1.3058256,2.095081,-1.2190226,-5.4770236,-84.27298035003155,-74.38967945004946,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
27,-2.3680353e-11,1555.6329,-1.2957019,2.1479692,-0.90823174,-5.725026,6.29941759162768,14.481670888444905,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
28,-2.3631477e-11,1555.4717,-1.2845098,2.188918,-0.6064016,-5.980121,-91.68806472487529,-66.78252671244715,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
29,-2.3582601e-11,1555.3104,-1.2727954,2.217848,-0.30695605,-6.2346625,-80.97887353929124,-68.72304575094427,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
30,-2.3533725e-11,1555.1492,-1.2599205,2.233464,-0.016064368,-6.49288,-83.20504910484856,-73.91442729027851,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
31,-2.348485e-11,1554.9882,-1.247749,2.2369847,0.27066004,-6.748719,-79.72001308462617,-78.03924841061234,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
32,-2.3435974e-11,1554.8269,-1.2354127,2.2277446,0.55088747,-7.003404,-86.36577903087412,-72.23032329321255,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
33,-2.3387096e-11,1554.6658,-1.225797,2.2072237,0.82672834,-7.2534328,-79.19714636798433,-77.70299022434452,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
34,-2.333822e-11,1554.5048,-1.2170492,2.1747792,1.0991918,-7.4972644,-83.1485040261414,-72.4622406338313,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
35,-2.3289344e-11,1554.3436,-1.2125373,2.1325479,1.3682436,-7.734767,-82.55073881972768,-74.38188233489586,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
36,-2.3240469e-11,1554.1827,-1.2101383,2.079539,1.6374077,-7.961039,-9.454933845216765,-2.5354061675452755,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
37,-2.3191593e-11,1554.0217,-1.2128814,2.0181797,1.9034619,-8.1792555,-88.3453549872215,-81.48527318664304,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
38,-2.3142717e-11,1553.8608,-1.2189323,1.9478238,2.173452,-8.382716,-82.67363072628638,-73.31350561746312,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
39,-2.3093841e-11,1553.7,-1.2303418,1.8699903,2.4419186,-8.576508,-76.32150572617638,-82.3656835169289,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
40,-2.3044965e-11,1553.5391,-1.2460225,1.7851368,2.715276,-8.754204,-77.18755949005165,-76.38110914835787,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
41,-2.299609e-11,1553.3782,-1.2662057,1.6938632,2.9884813,-8.921248,-76.33205161230921,-75.90839363370593,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
42,-2.2947214e-11,1553.2174,-1.2915373,1.5969117,3.2657597,-9.072611,-76.95416496689683,-73.33160050767168,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
43,-2.2898338e-11,1553.0566,-1.3207633,1.4941628,3.5434217,-9.2133045,-77.753228358271,-76.90330183913447,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
44,-2.2849462e-11,1552.8959,-1.3554457,1.3878882,3.8228471,-9.340613,-77.83441252252373,-87.81144384623403,1560.0,20000000000.0,21000000000.0,0.3,0.4,0.0,1.229,8.643,4.321,4e-26,60.0,0.0211,0.0761,0.005,2000,5,1024
