index,time_s,wavelength_nm,A_main_real,A_main_imag,A_aux_real,A_aux_imag,main_spectrum_db,aux_spectrum_db,param_wl_center_nm,param_FSR_main,param_FSR_aux,param_coupling_ring_bus,param_coupling_ring_ring,param_coupling_ring_drop,param_gamma,param_alpha_int_main,param_alpha_int_aux,param_beta_2,param_intensity_in,param_detuning_main,param_detuning_aux,param_detuning_step,param_nrt,param_n_per_step,param_n_small_time
0,-2.5e-12,1560.0,-1.5804468,2.607617,-1.1758497,0.35588756,37.42044108036342,29.798395060757414,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
1,-2.4902153e-12,1558.3812,-1.7019482,2.533306,-1.0893971,0.3883535,26.338754943987887,15.418128025175651,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
2,-2.4804306e-12,1556.766,-1.9406528,2.3192186,-0.9973076,0.49984553,23.49661243224024,10.183237365010463,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
3,-2.4706459e-12,1555.1539,-2.1723235,2.0002065,-0.91490006,0.6326052,22.461412687666403,7.3351759885083965,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
4,-2.4608612e-12,1553.5453,-2.3115714,1.6663988,-0.82616514,0.72530854,21.828447340712223,5.284176354597072,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
5,-2.4510762e-12,1551.9401,-2.3441901,1.3842331,-0.72816443,0.81210995,21.417519983844542,3.6912240167866273,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
6,-2.4412915e-12,1550.338,-2.3129265,1.1725979,-0.70335865,0.935686,21.104254610687768,2.41968198077517,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
7,-2.4315068e-12,1548.7393,-2.2563198,1.0472658,-0.7978597,1.0398904,20.840808610259362,1.3411760203635268,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
8,-2.4217221e-12,1547.1439,-2.185796,1.0154618,-0.8983008,1.053416,20.601005973636678,0.4289003233599331,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
9,-2.4119374e-12,1545.5518,-2.0845728,1.1006174,-0.9415211,1.0085725,20.36904030804491,-0.31839912660483805,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
10,-2.4021527e-12,1543.9629,-1.9438876,1.3299911,-0.99269223,0.93527806,20.132873888201516,-0.9982172788917829,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
11,-2.392368e-12,1542.3774,-1.7991716,1.7111063,-1.0786215,0.82618225,19.882393606446314,-1.6198485310829653,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
12,-2.382583e-12,1540.795,-1.7120992,2.139892,-1.1623045,0.6880734,19.59149998538876,-2.201200388257803,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
13,-2.3727984e-12,1539.2158,-1.6774172,2.459382,-1.2108799,0.5628553,19.251409053385583,-2.695509285827427,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0923,0.3749,0.0001,1000,5,512
